rank,raw_shelf,book_count
1,dark fantasy,17
2,academia,5
3,manga,4
4,historical mystery,3
5,dystopian romance,3
6,shojo,2
7,epic fantasy,2
8,booktok,2
9,spanish literature,2
10,manhwa,2
11,webcomic,2
12,italy,2
13,dual timeline,2
14,graphic novels comics,2
15,21st century,1
16,theatre,1
17,love inspired,1
18,ya horror,1
19,baseball romance,1
20,rus,1
21,ya romantasy,1
22,tarot,1
23,love story,1
24,mystery romance,1
25,espionage,1
26,police romance,1
27,realistic young adult,1
28,cozy romance,1
29,bangladesh,1
30,fade to black,1
31,kidnapping,1
32,spain,1
33,green,1
34,christian historical fiction,1
35,young adult science fiction,1
36,horses,1
37,folklore,1
38,dinosaurs,1
39,cinderella,1
